batch_id,protein_class,titer,blood_type,volume_l,collection_date,expiry_date,compliance
B00043,Albumin,med,A-,32.67,2025-09-28,2025-10-24,ok
B00044,IgG,high,O-,73.78,2025-09-18,2025-10-15,ok
B00045,IgG,high,A-,18.06,2025-09-28,2025-12-03,ok
B00046,IgG,med,O+,53.32,2025-09-20,2025-10-22,ok
B00047,Albumin,low,A+,33.47,2025-10-03,2025-12-07,ok
B00048,IgG,high,O-,47.13,2025-10-06,2025-12-08,ok
B00049,Albumin,low,AB-,70.42,2025-09-19,2025-11-03,ok
B00050,IgG,med,B-,54.43,2025-09-18,2025-10-10,ok
B00051,IgG,med,O+,59.11,2025-09-18,2025-10-11,ok
B00052,IgG,low,A-,27.73,2025-10-01,2025-11-03,ok
B00053,Albumin,low,AB+,54.23,2025-09-28,2025-10-30,ok
B00054,Albumin,low,B-,29.01,2025-10-03,2025-12-07,ok
B00055,IgG,med,B+,51.27,2025-10-13,2025-11-22,ok
B00056,IgG,med,B+,60.09,2025-09-22,2025-10-12,ok
B00057,Fibrinogen,low,AB-,50.78,2025-09-17,2025-10-19,ok
B00058,Albumin,med,A-,49.96,2025-10-06,2025-10-31,ok
B00059,IgG,high,B+,30.36,2025-09-21,2025-11-24,ok
B00060,IgG,low,B-,60.37,2025-09-20,2025-11-21,ok
B00061,Albumin,low,O+,50.53,2025-09-19,2025-10-20,ok
B00062,IgG,med,B-,34.79,2025-10-14,2025-11-12,ok
B00063,Fibrinogen,med,A+,29.03,2025-09-19,2025-11-11,ok
B00064,Albumin,high,AB-,61.06,2025-10-06,2025-12-02,ok
B00065,Albumin,low,O+,43.48,2025-09-19,2025-10-16,ok
B00066,IgG,high,O-,71.52,2025-10-06,2025-12-07,ok
B00067,Albumin,low,A-,32.82,2025-10-05,2025-11-25,ok
B00068,IgG,med,B-,42.68,2025-10-10,2025-11-19,ok
B00069,Fibrinogen,high,O+,41.46,2025-09-28,2025-12-04,ok
B00070,IgG,med,B-,42.1,2025-09-19,2025-10-20,ok
B00071,IgG,high,AB-,69.05,2025-10-09,2025-12-07,ok
B00072,IgG,low,B-,45.22,2025-10-07,2025-11-19,ok
B00073,Albumin,med,A+,42.86,2025-10-06,2025-11-25,ok
B00074,Albumin,low,B-,41.73,2025-09-18,2025-10-12,ok
B00075,IgG,med,AB-,32.55,2025-09-28,2025-11-22,ok
B00076,Albumin,low,O+,60.18,2025-10-07,2025-12-01,ok
B00077,IgG,med,AB+,37.6,2025-09-27,2025-11-30,ok
B00078,IgG,med,A+,67.38,2025-10-16,2025-11-06,ok
B00079,IgG,high,AB-,30.26,2025-09-24,2025-12-01,ok
B00080,IgG,med,A-,20.82,2025-10-09,2025-11-07,ok
B00081,Albumin,med,A+,41.51,2025-10-10,2025-12-10,ok
B00082,IgG,high,B-,64.07,2025-10-03,2025-12-04,ok
B00083,IgG,low,B+,39.17,2025-10-07,2025-12-04,ok
B00084,IgG,low,B+,50.27,2025-09-22,2025-10-25,ok
B00085,IgG,med,AB+,38.49,2025-09-23,2025-11-14,ok
B00086,Albumin,low,AB-,72.59,2025-10-05,2025-11-22,ok
B00087,Albumin,med,AB+,55.2,2025-10-02,2025-11-28,ok
B00088,Albumin,low,A-,26.92,2025-10-09,2025-11-01,ok
B00089,IgG,med,AB+,43.54,2025-09-24,2025-11-26,ok
B00090,Albumin,low,O-,48.83,2025-09-22,2025-11-11,ok
B00091,Albumin,low,AB+,13.9,2025-10-07,2025-11-06,ok
B00092,Albumin,low,A+,45.67,2025-09-26,2025-10-18,ok
B00093,IgG,low,O+,39.53,2025-10-02,2025-10-22,ok
B00094,Albumin,low,A+,47.78,2025-09-21,2025-11-29,ok
B00095,IgG,high,A-,102.88,2025-09-18,2025-11-02,ok
B00096,IgG,med,AB+,75.23,2025-09-18,2025-11-11,ok
B00097,Albumin,med,O-,68.83,2025-10-05,2025-11-23,ok
B00098,Albumin,high,O-,38.0,2025-09-27,2025-11-14,ok
B00099,Albumin,low,AB+,41.91,2025-10-11,2025-11-17,ok
B00100,Albumin,low,O-,41.38,2025-09-25,2025-11-16,ok
B00101,Albumin,low,O+,45.88,2025-10-10,2025-11-02,hold
B00102,IgG,med,B-,43.64,2025-09-19,2025-10-31,ok
B00103,IgG,low,AB+,31.19,2025-09-18,2025-10-11,hold
B00104,Fibrinogen,low,AB+,25.83,2025-10-02,2025-11-01,ok
B00105,IgG,low,O+,59.93,2025-09-30,2025-11-24,ok
B00106,IgG,low,O+,60.77,2025-10-07,2025-12-03,ok
B00107,IgG,med,O+,63.3,2025-09-30,2025-11-07,ok
B00108,IgG,med,A-,59.35,2025-10-02,2025-11-07,ok
B00109,Albumin,med,O+,41.86,2025-10-06,2025-11-21,ok
B00110,IgG,low,B-,6.12,2025-10-10,2025-12-01,ok
B00111,IgG,med,AB+,33.26,2025-10-02,2025-11-04,ok
B00112,IgG,med,A-,46.76,2025-09-30,2025-11-16,ok
B00113,IgG,med,A-,61.04,2025-09-23,2025-11-13,ok
B00114,IgG,med,A-,27.65,2025-09-29,2025-12-05,ok
B00115,Albumin,low,AB+,84.76,2025-09-21,2025-10-22,ok
B00116,IgG,med,A-,28.95,2025-10-03,2025-11-11,ok
B00117,Albumin,low,AB+,43.93,2025-09-28,2025-10-26,ok
B00118,Albumin,low,B+,48.07,2025-09-18,2025-10-27,ok
B00119,IgG,high,B+,53.81,2025-09-25,2025-10-30,ok
B00120,Albumin,low,O-,31.05,2025-10-05,2025-11-14,ok
B00121,Fibrinogen,med,B-,79.46,2025-10-02,2025-12-01,ok
B00122,Albumin,low,AB-,38.45,2025-10-09,2025-11-07,ok
B00123,IgG,med,B-,60.95,2025-10-09,2025-11-30,ok
B00124,Albumin,low,AB-,47.73,2025-10-15,2025-11-22,ok
B00125,Albumin,low,B+,11.38,2025-09-20,2025-10-24,ok
B00126,Albumin,low,O-,48.31,2025-09-18,2025-10-21,ok
B00127,IgG,med,B+,46.45,2025-10-12,2025-12-17,ok
B00128,Albumin,low,B-,38.03,2025-09-17,2025-10-14,ok
B00129,IgG,med,A-,32.52,2025-10-13,2025-11-23,ok
B00130,Albumin,low,AB+,72.96,2025-09-26,2025-11-18,ok
B00131,IgG,med,AB-,64.74,2025-10-06,2025-11-16,ok
B00132,Albumin,low,AB-,15.96,2025-09-20,2025-11-18,ok
B00133,Albumin,low,O-,27.37,2025-09-20,2025-10-19,ok
B00134,Albumin,low,B-,42.04,2025-10-03,2025-11-22,ok
B00135,IgG,low,AB+,16.51,2025-10-03,2025-11-01,ok
B00136,Albumin,low,B-,53.83,2025-09-22,2025-10-28,ok
B00137,IgG,low,AB+,35.18,2025-10-03,2025-12-08,ok
B00138,IgG,high,AB-,38.47,2025-10-15,2025-11-23,ok
B00139,IgG,med,AB-,78.16,2025-10-13,2025-12-03,ok
B00140,Albumin,high,B+,78.96,2025-10-16,2025-12-09,ok
B00141,IgG,med,A+,45.3,2025-09-22,2025-11-27,hold
B00142,Albumin,high,AB+,19.87,2025-10-11,2025-11-15,ok
B00143,IgG,low,A-,30.2,2025-09-18,2025-11-07,ok
B00144,IgG,med,AB-,56.34,2025-10-06,2025-11-28,ok
B00145,IgG,low,AB+,36.06,2025-10-04,2025-12-03,ok
B00146,IgG,low,B-,42.9,2025-09-19,2025-10-20,ok
B00147,IgG,low,O+,19.87,2025-09-18,2025-10-15,ok
B00148,Albumin,med,AB-,61.1,2025-09-19,2025-11-23,ok
B00149,IgG,low,AB+,46.85,2025-09-29,2025-11-25,ok
B00150,Albumin,low,B-,58.76,2025-10-16,2025-12-06,ok
B00151,Fibrinogen,med,B-,47.83,2025-10-08,2025-10-31,ok
B00152,Fibrinogen,med,AB+,44.22,2025-10-04,2025-11-08,ok
B00153,Albumin,low,A+,56.78,2025-09-17,2025-10-20,ok
B00154,IgG,med,O+,35.33,2025-10-15,2025-11-23,ok
B00155,IgG,low,B+,47.51,2025-09-26,2025-10-18,ok
B00156,IgG,med,O-,53.52,2025-10-11,2025-12-15,ok
B00157,IgG,low,O+,49.58,2025-10-13,2025-11-09,ok
B00158,IgG,high,B-,62.95,2025-09-28,2025-10-27,ok
B00159,IgG,med,A+,55.52,2025-10-16,2025-12-09,ok
B00160,IgG,med,B-,85.24,2025-10-10,2025-11-11,ok
B00161,IgG,low,O-,52.07,2025-09-18,2025-11-18,ok
B00162,IgG,med,O+,31.48,2025-09-19,2025-10-27,ok
B00163,IgG,med,A+,28.47,2025-09-30,2025-11-01,ok
B00164,Fibrinogen,low,O-,40.51,2025-10-16,2025-11-26,ok
B00165,IgG,med,O-,40.49,2025-10-02,2025-12-05,ok
B00166,IgG,med,O+,35.19,2025-10-12,2025-11-16,ok
B00167,IgG,med,AB-,49.51,2025-10-05,2025-12-03,ok
B00168,IgG,low,A-,32.89,2025-09-23,2025-11-25,ok
B00169,IgG,med,B-,28.04,2025-09-25,2025-11-06,ok
B00170,IgG,med,O-,32.25,2025-10-09,2025-11-15,ok
B00171,IgG,low,O+,30.72,2025-10-02,2025-11-22,ok
B00172,IgG,med,A-,50.79,2025-10-01,2025-11-21,ok
B00173,IgG,med,B+,59.21,2025-10-09,2025-11-29,ok
B00174,Fibrinogen,med,A+,6.63,2025-09-20,2025-11-22,ok
B00175,Albumin,low,A-,12.48,2025-09-17,2025-11-07,ok
B00176,IgG,high,AB-,37.62,2025-10-15,2025-11-24,ok
B00177,Albumin,low,AB+,50.66,2025-10-04,2025-11-24,ok
B00178,Albumin,med,AB+,47.9,2025-10-16,2025-12-08,ok
B00179,IgG,med,O-,25.98,2025-09-28,2025-10-20,ok
B00180,Fibrinogen,low,B+,58.48,2025-09-30,2025-11-09,ok
B00181,Fibrinogen,low,O-,54.59,2025-09-30,2025-11-06,ok
B00182,IgG,low,O+,38.12,2025-10-15,2025-12-22,ok
B00183,IgG,low,AB+,51.3,2025-10-03,2025-11-24,ok
B00184,Albumin,med,AB-,41.91,2025-09-30,2025-11-05,ok
B00185,IgG,low,O+,67.3,2025-10-01,2025-11-24,ok
B00186,Albumin,low,B+,38.29,2025-09-17,2025-11-01,ok
B00187,IgG,low,A-,19.1,2025-09-28,2025-11-06,ok
B00188,IgG,med,O+,33.69,2025-09-28,2025-11-12,ok
B00189,IgG,med,B-,62.78,2025-10-10,2025-10-30,ok
B00190,Albumin,med,O-,41.93,2025-09-19,2025-11-14,ok
B00191,IgG,low,A-,13.32,2025-10-14,2025-12-10,ok
B00192,IgG,high,B-,24.82,2025-10-06,2025-10-29,ok
B00193,IgG,med,B-,31.15,2025-09-28,2025-12-02,ok
B00194,IgG,med,B+,42.55,2025-10-10,2025-11-25,ok
B00195,IgG,low,A-,43.94,2025-09-18,2025-10-30,ok
B00196,IgG,low,AB-,39.25,2025-09-22,2025-10-25,ok
B00197,IgG,med,O-,59.44,2025-09-25,2025-10-26,ok
B00198,IgG,med,O-,38.3,2025-10-10,2025-12-16,ok
B00199,IgG,med,AB-,40.77,2025-09-29,2025-12-04,ok
B00200,Fibrinogen,low,AB+,18.01,2025-10-09,2025-11-17,ok
B00201,IgG,low,A-,71.99,2025-10-04,2025-12-12,ok
B00202,IgG,med,B-,47.74,2025-10-04,2025-11-13,ok
B00203,Albumin,med,A-,59.94,2025-09-22,2025-11-02,ok
B00204,IgG,high,B-,55.16,2025-10-13,2025-11-30,ok
B00205,Albumin,low,A-,34.43,2025-10-02,2025-11-29,ok
B00206,IgG,med,B-,63.66,2025-10-05,2025-11-25,ok
B00207,IgG,low,B-,35.3,2025-09-27,2025-10-18,ok
B00208,Albumin,low,AB+,65.7,2025-09-18,2025-10-30,ok
B00209,IgG,low,O+,21.61,2025-10-02,2025-11-14,ok
B00210,IgG,med,B+,17.62,2025-10-04,2025-11-21,ok
B00211,Fibrinogen,high,O-,49.92,2025-10-15,2025-12-01,ok
B00212,IgG,low,O+,51.76,2025-10-07,2025-12-06,ok
B00213,Albumin,med,O-,47.3,2025-10-11,2025-11-08,ok
B00214,Albumin,med,AB-,33.68,2025-10-05,2025-11-24,ok
B00215,Albumin,low,AB-,68.91,2025-09-18,2025-10-27,ok
B00216,IgG,low,A-,49.55,2025-09-19,2025-10-26,ok
B00217,IgG,low,B-,69.43,2025-09-18,2025-11-18,ok
B00218,IgG,med,O+,42.98,2025-09-26,2025-11-07,hold
B00219,Albumin,low,B+,46.26,2025-10-09,2025-11-15,ok
B00220,IgG,low,B-,32.39,2025-10-04,2025-11-20,ok
B00221,IgG,high,B+,25.73,2025-09-30,2025-11-17,ok
B00222,IgG,low,A-,53.74,2025-10-13,2025-11-20,ok
B00223,Fibrinogen,low,A-,66.79,2025-10-13,2025-12-09,ok
B00224,Fibrinogen,med,O+,3.0,2025-10-14,2025-11-30,ok
B00225,Fibrinogen,med,AB-,38.41,2025-10-11,2025-12-07,ok
B00226,IgG,med,AB-,70.59,2025-10-09,2025-11-29,ok
B00227,Fibrinogen,med,B-,26.76,2025-09-25,2025-11-10,ok
B00228,Albumin,med,A+,35.32,2025-09-22,2025-10-20,ok
B00229,Fibrinogen,low,O-,52.4,2025-09-23,2025-11-26,ok
B00230,IgG,med,AB-,20.54,2025-09-24,2025-11-01,ok
B00231,IgG,med,AB+,39.7,2025-10-03,2025-11-19,ok
B00232,Albumin,med,A-,31.76,2025-10-15,2025-11-25,ok
B00233,IgG,med,B-,38.9,2025-09-26,2025-11-08,ok
B00234,Albumin,low,B-,45.82,2025-09-21,2025-10-27,ok
B00235,IgG,med,B+,56.05,2025-10-06,2025-11-16,ok
B00236,Albumin,high,B-,48.78,2025-09-26,2025-11-14,ok
B00237,Albumin,low,O-,53.94,2025-09-23,2025-11-07,ok
B00238,Albumin,low,B-,18.92,2025-09-29,2025-12-03,ok
B00239,IgG,low,O+,35.09,2025-09-22,2025-11-18,ok
B00240,IgG,high,AB-,29.92,2025-10-08,2025-11-19,ok
B00241,IgG,med,O-,58.49,2025-10-03,2025-11-10,ok
B00242,IgG,med,O-,26.48,2025-09-19,2025-11-13,ok
B00243,IgG,low,AB+,41.07,2025-10-16,2025-11-24,ok
B00244,Albumin,high,B+,40.4,2025-10-08,2025-12-08,ok
B00245,IgG,med,B+,34.75,2025-09-18,2025-11-15,ok
B00246,IgG,low,B+,36.45,2025-10-11,2025-12-16,ok
B00247,Albumin,low,AB-,51.08,2025-09-26,2025-10-26,ok
B00248,IgG,high,B+,33.86,2025-10-01,2025-12-05,ok
B00249,IgG,high,O+,58.88,2025-09-30,2025-11-10,ok
B00250,Albumin,low,A+,47.85,2025-10-15,2025-11-20,ok
B00251,IgG,med,A-,28.41,2025-10-15,2025-11-23,ok
B00252,Albumin,med,AB-,37.52,2025-10-01,2025-11-18,ok
B00253,Albumin,low,O+,64.0,2025-09-29,2025-11-30,ok
B00254,IgG,high,A+,44.28,2025-09-25,2025-11-04,ok
B00255,Albumin,high,B-,35.46,2025-10-10,2025-11-06,ok
B00256,Albumin,low,B+,41.64,2025-10-02,2025-12-06,ok
B00257,Albumin,low,O+,29.47,2025-10-09,2025-12-13,ok
B00258,IgG,med,A-,63.67,2025-10-14,2025-12-10,ok
B00259,Albumin,low,AB+,34.75,2025-10-13,2025-11-25,hold
B00260,IgG,low,B-,28.22,2025-09-26,2025-11-23,ok
B00261,Fibrinogen,med,AB-,54.57,2025-09-22,2025-11-14,ok
B00262,IgG,med,O-,34.38,2025-10-01,2025-10-25,ok
B00263,IgG,med,A-,39.46,2025-10-13,2025-12-02,ok
B00264,IgG,med,AB-,57.6,2025-10-13,2025-11-10,ok
B00265,IgG,low,B+,67.77,2025-10-15,2025-11-21,ok
B00266,IgG,low,O-,79.94,2025-09-17,2025-10-22,ok
B00267,IgG,low,AB+,37.09,2025-09-21,2025-10-11,ok
B00268,IgG,med,A+,49.24,2025-09-27,2025-10-22,ok
B00269,IgG,high,AB+,40.56,2025-10-13,2025-11-24,ok
B00270,Albumin,low,AB+,14.9,2025-10-09,2025-11-22,ok
B00271,Fibrinogen,low,B-,62.59,2025-09-21,2025-11-23,ok
B00272,Albumin,med,B-,50.09,2025-10-07,2025-11-20,ok
B00273,Fibrinogen,low,A+,44.18,2025-10-12,2025-11-23,ok
B00274,Albumin,low,AB+,47.81,2025-10-13,2025-11-12,ok
B00275,IgG,high,O-,73.48,2025-10-11,2025-12-14,ok
B00276,Albumin,low,B+,29.72,2025-10-14,2025-12-08,ok
B00277,IgG,med,AB-,21.57,2025-10-05,2025-12-04,ok
B00278,Fibrinogen,high,O+,54.91,2025-09-26,2025-11-03,ok
B00279,IgG,low,A-,8.03,2025-10-09,2025-11-21,ok
B00280,IgG,high,AB-,23.05,2025-09-27,2025-11-05,ok
B00281,IgG,med,A-,36.71,2025-10-06,2025-11-20,ok
B00282,IgG,med,O+,74.24,2025-09-22,2025-11-01,ok
B00283,Fibrinogen,med,A-,46.22,2025-10-07,2025-11-03,ok
B00284,IgG,low,A+,59.88,2025-10-06,2025-11-26,ok
B00285,IgG,low,B-,62.96,2025-09-27,2025-11-27,ok
B00286,Albumin,med,O-,60.65,2025-10-02,2025-12-09,ok
B00287,IgG,low,AB+,37.31,2025-10-04,2025-11-10,ok
B00288,IgG,med,A-,47.53,2025-10-15,2025-12-08,ok
B00289,Albumin,low,B+,40.57,2025-09-21,2025-10-24,ok
B00290,Fibrinogen,low,A+,4.76,2025-09-22,2025-10-23,ok
B00291,IgG,med,O-,39.8,2025-10-14,2025-11-25,ok
B00292,Fibrinogen,low,B-,34.04,2025-09-24,2025-11-06,ok
B00293,IgG,high,O-,34.37,2025-10-03,2025-10-30,ok
B00294,Fibrinogen,med,B+,117.97,2025-10-13,2025-11-09,ok
B00295,Albumin,med,B-,70.79,2025-09-21,2025-11-14,ok
B00296,IgG,low,O+,9.87,2025-09-22,2025-10-16,ok
B00297,Fibrinogen,high,A-,69.65,2025-10-04,2025-12-01,ok
B00298,IgG,med,AB-,82.33,2025-10-13,2025-12-19,ok
B00299,Albumin,med,A+,50.61,2025-09-17,2025-10-22,ok
B00300,Albumin,med,A-,36.83,2025-10-04,2025-11-14,ok
B00301,Albumin,low,O-,58.26,2025-09-22,2025-10-22,ok
B00302,Albumin,med,B-,30.6,2025-10-11,2025-11-08,ok
B00303,Albumin,high,O+,54.64,2025-09-18,2025-10-24,ok
B00304,Albumin,med,A+,36.3,2025-10-08,2025-12-14,ok
B00305,IgG,med,A-,6.96,2025-09-18,2025-11-12,ok
B00306,IgG,high,B-,64.45,2025-10-07,2025-11-04,ok
B00307,Fibrinogen,low,A-,42.38,2025-09-19,2025-11-25,ok
B00308,IgG,low,A-,43.43,2025-09-24,2025-11-30,ok
B00309,Albumin,med,B+,69.9,2025-10-10,2025-11-08,ok
B00310,Fibrinogen,med,O-,63.12,2025-10-03,2025-12-11,ok
B00311,IgG,med,A-,59.45,2025-10-11,2025-11-15,ok
B00312,IgG,high,A+,43.18,2025-10-06,2025-11-08,ok
B00313,IgG,med,B+,48.51,2025-10-07,2025-11-28,ok
B00314,Albumin,low,AB+,45.22,2025-09-25,2025-11-15,ok
B00315,Albumin,med,B-,61.49,2025-09-28,2025-10-23,ok
B00316,Fibrinogen,med,B+,65.02,2025-10-01,2025-11-15,ok
B00317,Albumin,low,AB+,40.87,2025-09-24,2025-11-05,ok
B00318,IgG,med,B+,33.26,2025-09-27,2025-10-18,ok
B00319,Albumin,med,AB+,58.59,2025-10-11,2025-12-01,ok
B00320,Fibrinogen,low,A-,86.26,2025-09-17,2025-10-21,ok
B00321,IgG,low,B+,59.83,2025-09-26,2025-11-22,ok
B00322,IgG,med,AB+,28.24,2025-09-27,2025-11-30,ok
B00323,Fibrinogen,med,B-,45.15,2025-10-15,2025-12-06,ok
B00324,Albumin,low,B+,24.33,2025-09-26,2025-11-08,ok
B00325,Fibrinogen,low,B-,23.16,2025-10-01,2025-11-08,ok
B00326,Fibrinogen,med,A-,11.06,2025-10-10,2025-10-30,ok
B00327,IgG,med,B-,42.03,2025-10-13,2025-12-21,ok
B00328,IgG,low,O-,29.18,2025-10-09,2025-11-29,ok
B00329,IgG,med,B-,31.62,2025-09-19,2025-11-17,ok
B00330,IgG,med,A-,31.2,2025-09-18,2025-10-16,ok
B00331,Albumin,low,O-,54.03,2025-09-28,2025-10-23,ok
B00332,Fibrinogen,med,O-,33.42,2025-10-07,2025-11-15,ok
B00333,IgG,med,A-,67.03,2025-10-08,2025-11-11,ok
B00334,Fibrinogen,med,B+,35.28,2025-10-13,2025-11-26,ok
B00335,Fibrinogen,low,O+,50.11,2025-09-20,2025-10-23,ok
B00336,Albumin,med,B-,76.17,2025-09-30,2025-11-29,ok
B00337,IgG,med,B-,39.87,2025-10-14,2025-11-19,hold
B00338,Fibrinogen,low,B-,24.17,2025-10-10,2025-11-27,ok
B00339,IgG,med,B-,23.57,2025-09-24,2025-11-07,ok
B00340,IgG,med,A+,48.11,2025-10-01,2025-11-09,ok
B00341,Albumin,med,A+,43.89,2025-09-23,2025-11-16,ok
B00342,IgG,med,AB+,47.05,2025-10-16,2025-11-28,ok
B00343,Albumin,high,B-,49.96,2025-10-12,2025-12-01,ok
B00344,IgG,med,B+,49.91,2025-10-04,2025-11-13,ok
B00345,Fibrinogen,low,B-,20.12,2025-10-13,2025-12-21,ok
B00346,Albumin,high,A-,64.38,2025-09-27,2025-11-13,ok
B00347,Albumin,low,AB+,39.15,2025-09-18,2025-11-18,ok
B00348,IgG,med,B+,58.22,2025-09-19,2025-11-04,ok
B00349,IgG,med,O-,48.09,2025-10-05,2025-12-03,ok
B00350,Albumin,low,AB+,42.38,2025-09-28,2025-11-02,ok
B00351,Albumin,low,AB+,81.96,2025-09-17,2025-11-14,ok
B00352,IgG,med,AB-,59.42,2025-09-25,2025-11-18,ok
B00353,IgG,low,B-,56.1,2025-09-25,2025-12-01,ok
B00354,IgG,med,AB-,29.6,2025-09-29,2025-11-02,ok
B00355,IgG,med,O-,85.97,2025-10-10,2025-12-13,ok
B00356,Fibrinogen,low,AB-,39.0,2025-09-26,2025-11-10,ok
B00357,Albumin,low,A-,24.7,2025-10-10,2025-12-05,ok
B00358,Albumin,high,A+,19.36,2025-09-24,2025-11-02,ok
B00359,Albumin,med,B-,21.14,2025-09-28,2025-11-07,ok
B00360,IgG,high,B-,47.32,2025-09-30,2025-11-15,ok
B00361,IgG,med,AB-,43.68,2025-10-05,2025-11-29,ok
B00362,IgG,med,O-,26.22,2025-09-19,2025-10-11,ok
B00363,Fibrinogen,low,O-,76.51,2025-09-20,2025-11-26,ok
B00364,IgG,low,B-,41.35,2025-10-07,2025-11-12,ok
B00365,Fibrinogen,low,B-,53.13,2025-09-29,2025-10-20,ok
B00366,Albumin,low,A+,21.79,2025-10-10,2025-11-19,ok
B00367,IgG,med,O+,22.95,2025-10-16,2025-11-27,ok
B00368,IgG,med,O-,57.77,2025-10-13,2025-11-22,ok
B00369,IgG,low,O-,16.51,2025-09-22,2025-11-08,ok
B00370,Albumin,med,A+,54.89,2025-10-08,2025-11-03,ok
B00371,Fibrinogen,low,AB+,53.8,2025-09-29,2025-11-14,ok
B00372,IgG,high,AB-,36.24,2025-09-28,2025-10-25,ok
B00373,IgG,med,AB-,37.87,2025-09-21,2025-11-10,ok
B00374,Fibrinogen,low,AB-,38.44,2025-10-05,2025-10-30,ok
B00375,Albumin,low,A-,38.28,2025-09-19,2025-10-09,ok
B00376,Fibrinogen,med,A+,42.65,2025-10-16,2025-12-21,ok
B00377,IgG,med,B+,45.85,2025-10-16,2025-12-05,ok
B00378,IgG,low,A-,45.73,2025-09-30,2025-10-26,ok
B00379,Albumin,low,AB+,22.91,2025-09-30,2025-11-28,hold
B00380,IgG,med,B+,30.36,2025-09-20,2025-11-15,ok
B00381,IgG,med,AB-,28.36,2025-09-25,2025-11-19,ok
B00382,IgG,high,O-,60.88,2025-09-19,2025-10-21,ok
B00383,Albumin,low,O+,3.0,2025-10-02,2025-10-29,ok
B00384,IgG,med,A-,44.38,2025-10-13,2025-11-24,ok
B00385,Albumin,high,O+,35.62,2025-10-05,2025-12-08,ok
B00386,IgG,med,A+,66.8,2025-10-04,2025-12-11,ok
B00387,IgG,med,O+,49.55,2025-10-15,2025-12-18,ok
B00388,IgG,med,AB-,31.8,2025-10-07,2025-11-21,ok
B00389,Albumin,low,O+,54.19,2025-09-27,2025-11-24,ok
B00390,Fibrinogen,low,B-,7.36,2025-10-04,2025-11-06,ok
B00391,IgG,med,B-,47.47,2025-09-23,2025-11-08,ok
B00392,IgG,med,O-,41.7,2025-09-30,2025-11-10,ok
B00393,IgG,med,O-,46.92,2025-10-16,2025-12-19,ok
B00394,IgG,high,AB-,40.9,2025-10-08,2025-11-15,ok
B00395,IgG,med,B-,74.89,2025-10-03,2025-10-31,ok
